epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27292,1.41041,2.81532,1.75661,0.61344,0.88258,0.8879,0.6156,1.39333,1.32811,1.25125,0,0,0
2,6.02015,1.24359,2.67791,1.4288,0.59769,0.89657,0.88815,0.618,1.40569,1.35131,1.25755,1.17822e-06,1.17822e-06,1.17822e-06
3,7.52754,1.1271,4.17269,1.48579,0.57766,0.83333,0.87396,0.61302,1.42099,1.38156,1.26579,2.33288e-06,2.33288e-06,2.33288e-06
4,9.13311,1.27885,2.6786,1.45492,0.54518,0.85716,0.87208,0.60507,1.45292,1.4169,1.27928,3.46397e-06,3.46397e-06,3.46397e-06
5,10.6605,1.32844,2.86089,1.62109,0.57027,0.83333,0.87415,0.59719,1.48126,1.4523,1.29615,4.5715e-06,4.5715e-06,4.5715e-06
6,12.2517,1.66472,4.59853,1.93402,0.85529,0.57223,0.874,0.58053,1.49341,1.5078,1.31123,5.65548e-06,5.65548e-06,5.65548e-06
7,13.7675,1.38227,2.09167,1.53872,0.84094,0.56667,0.88598,0.57899,1.50471,1.54885,1.31961,6.71588e-06,6.71588e-06,6.71588e-06
8,15.2404,1.4926,3.18903,1.7491,0.8391,0.56667,0.88228,0.56348,1.51863,1.6254,1.34285,7.75273e-06,7.75273e-06,7.75273e-06
9,16.6802,1.08524,2.60815,1.36911,0.82387,0.56667,0.77945,0.5384,1.54448,1.69023,1.36156,8.76602e-06,8.76602e-06,8.76602e-06
10,18.2411,0.99728,3.34863,1.50246,0.82691,0.58149,0.74654,0.53549,1.55663,1.73849,1.37601,9.75574e-06,9.75574e-06,9.75574e-06
11,19.7098,1.34127,2.76706,1.53592,0.80126,0.58145,0.74299,0.53433,1.55645,1.74786,1.37792,1.07219e-05,1.07219e-05,1.07219e-05
12,21.2121,1.04804,2.0677,1.40311,0.78142,0.58333,0.74306,0.53442,1.55058,1.76908,1.37323,1.16645e-05,1.16645e-05,1.16645e-05
